ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_cell,Metadata_cell,Metadata_hour,Metadata_hour,Metadata_site,Metadata_treatment,Metadata_treatment,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Texture_AngularSecondMoment_AA_5_00_256,Texture_AngularSecondMoment_AA_5_01_256,Texture_AngularSecondMoment_AA_5_02_256,Texture_AngularSecondMoment_AA_5_03_256,Texture_Contrast_AA_5_00_256,Texture_Contrast_AA_5_01_256,Texture_Contrast_AA_5_02_256,Texture_Contrast_AA_5_03_256,Texture_Correlation_AA_5_00_256,Texture_Correlation_AA_5_01_256,Texture_Correlation_AA_5_02_256,Texture_Correlation_AA_5_03_256,Texture_DifferenceEntropy_AA_5_00_256,Texture_DifferenceEntropy_AA_5_01_256,Texture_DifferenceEntropy_AA_5_02_256,Texture_DifferenceEntropy_AA_5_03_256,Texture_DifferenceVariance_AA_5_00_256,Texture_DifferenceVariance_AA_5_01_256,Texture_DifferenceVariance_AA_5_02_256,Texture_DifferenceVariance_AA_5_03_256,Texture_Entropy_AA_5_00_256,Texture_Entropy_AA_5_01_256,Texture_Entropy_AA_5_02_256,Texture_Entropy_AA_5_03_256,Texture_InfoMeas1_AA_5_00_256,Texture_InfoMeas1_AA_5_01_256,Texture_InfoMeas1_AA_5_02_256,Texture_InfoMeas1_AA_5_03_256,Texture_InfoMeas2_AA_5_00_256,Texture_InfoMeas2_AA_5_01_256,Texture_InfoMeas2_AA_5_02_256,Texture_InfoMeas2_AA_5_03_256,Texture_InverseDifferenceMoment_AA_5_00_256,Texture_InverseDifferenceMoment_AA_5_01_256,Texture_InverseDifferenceMoment_AA_5_02_256,Texture_InverseDifferenceMoment_AA_5_03_256,Texture_SumAverage_AA_5_00_256,Texture_SumAverage_AA_5_01_256,Texture_SumAverage_AA_5_02_256,Texture_SumAverage_AA_5_03_256,Texture_SumEntropy_AA_5_00_256,Texture_SumEntropy_AA_5_01_256,Texture_SumEntropy_AA_5_02_256,Texture_SumEntropy_AA_5_03_256,Texture_SumVariance_AA_5_00_256,Texture_SumVariance_AA_5_01_256,Texture_SumVariance_AA_5_02_256,Texture_SumVariance_AA_5_03_256,Texture_Variance_AA_5_00_256,Texture_Variance_AA_5_01_256,Texture_Variance_AA_5_02_256,Texture_Variance_AA_5_03_256
2,1,nan,0,0,A549,A549,8,8,1,AFA,AFA,48663,92644,1950,637,1513,425,1751.2772332162012,539.7074368616813,1.9109785138858988,50084,0.9481604740877079,248.91696600562852,1,0.5252687707784638,0.5232921211482068,445.65541447608,454.4007042248064,71.5122367151245,28.61784280733083,26.570660511172846,144.00934540755838,141.62569750996676,-70.22027338134232,1081.0163773909258,0.9716276655219231,0.9988235049246776,0.9987767052251162,0.9987951291243726,0.9988063775946338,0.0005885072932868132,0.0006119282295605044,0.0006027078804055363,0.0005970785798059495,-0.0002943402565673589,-0.0003060577577915998,-0.0003014447817674002,-0.0002986284417740421,0.007163853686208135,0.007414491704874258,0.007315977829093703,0.007255732231075352,0.22183011492058716,0.22181451970662067,0.22182065913981122,0.2218244075042386,0.0077523609794949485,0.008026419934434762,0.007918685709499239,0.007852810810881303,-3.223554918825495e-05,-3.366272261801637e-05,-3.310006840653547e-05,-3.275706313150797e-05,0.0004999056015166294,0.0005198034812012508,0.000511970060027093,0.0005071875388927379,0.9997057463533566,0.9996940358852198,0.9996986460597973,0.9997014607100969,2.0005885072932865,2.0006119282295605,2.0006027078804056,2.0005970785798057,0.007163853686208135,0.007414491704874258,0.007315977829093703,0.007255732231075352,0.0005881609524536202,0.0006115537734023846,0.0006023446236165242,0.0005967220769758086,0.0002941670614351466,0.0003058705007406015,0.0003012631260055354,0.00029845016419538517
2,2,nan,0,0,A549,A549,8,8,1,AFA,AFA,23262,31200,931,777,781,569,854.2621872581893,675.4090361963717,1.1843689891162326,23431,0.7651440949416355,172.09909438933533,1,0.745576923076923,0.8443314618919502,214.65540825835322,216.41164478835236,70.21395872616783,26.634767995274164,24.041630560342615,140.08890034545922,138.20783352447197,20.65661463528426,588.3990616607231,0.9927873330203576,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,0.25,0.25,0.25,0.25,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,nan,0,0,A549,A549,8,8,1,AFA,AFA,38458,57812,522,994,328,696,422.92532112954393,845.8179052472827,1.375746686402534,40126,0.837305210405237,221.28318149245976,1,0.6652252127585968,0.726878000058949,303.5300995915921,298.31694554617576,80.62257748298549,30.60656633000981,28.160255680657446,176.6598504123397,165.95075784144439,-10.917454399051271,815.3940110268397,0.9584309425310272,0.5546322960800923,0.5473971396070275,0.561561227548428,0.5535109441400066,0.12848950443626922,0.1344717182497332,0.12377294067434913,0.1291092546381686,0.6145944067371834,0.6000410328540527,0.6249140842992781,0.613502048179476,0.5532810450731549,0.569575576099744,0.5401096939791018,0.5549902421933527,0.1475689210982281,0.1446295053950905,0.14992008900144013,0.14726218555225878,1.2526057885074056,1.272060013079209,1.2346457607869687,1.25537445272901,-0.3166097492680561,-0.3010673038542247,-0.3281490306456466,-0.3153513400565309,0.6129704671052062,0.6024192341695283,0.6197575702727065,0.6123654829459808,0.9357552477818654,0.9327641408751334,0.9381135296628256,0.9354453726809157,2.4227439948063187,2.427660564266754,2.416880068288519,2.4238906368666595,1.1241162840711363,1.1375882948294758,1.1108728201126197,1.1262651980908416,0.5382860000315635,0.537955852054818,0.5361982045664471,0.5389887470719277,0.16669387611695852,0.1681068925761371,0.16499278631019987,0.16702450042752393
2,4,nan,0,0,A549,A549,8,8,1,AFA,AFA,23617,33304,1687,884,1506,700,1588.7074141508235,790.1668713215057,1.2101852902390335,23862,0.6198673730054136,173.40731913045175,1,0.709134037953399,0.8263197446421464,197.3840000973249,205.32169880458324,73.49829930005184,27.10834417897656,24.186773244895647,148.28774837352387,154.888526579439,44.765306766732195,599.2985565973347,0.9897326292850558,0.8952977958377035,0.8984567234359218,0.887844801619495,0.8867741041717392,0.032518175809649705,0.03553796201574523,0.032755128995333276,0.03265765765765766,0.5560140969263871,0.47169792510047776,0.592967304846467,0.5999540226748176,0.20686728650881783,0.22144577909488072,0.2080258681745753,0.20754959302055673,0.2012483928544473,0.1993722120412138,0.2011007352090007,0.20116146551957356,0.3898248492333983,0.38079740394283756,0.4114757233911144,0.41444559977293716,-0.32960182349040507,-0.25444435019387485,-0.36320116607007474,-0.36990573209173466,0.37761191276852085,0.3241527431401665,0.40854321208427347,0.41408152782961094,0.983740912095175,0.9822310189921275,0.9836224355023335,0.9836711711711711,2.0761401189689357,2.06969710447894,2.0840010566170646,2.08527027027027,0.35730667342374856,0.34525944192709235,0.3787205943957811,0.3817879421152795,0.11396474441161875,0.09899856056938461,0.12819080672601135,0.13061186389091883,0.036620730055317186,0.03363413064628262,0.040236483930335964,0.04081738038714411
2,5,nan,0,0,A549,A549,8,8,1,AFA,AFA,12901,20125,1854,866,1729,705,1799.4963956282459,779.3192000620107,1.28402681851728,13212,0.637074478233769,128.16420470095517,1,0.6410434782608696,0.7787999328197384,147.7582833336376,161.94134740701648,55.46169849544819,19.892711493195655,17.72004514666935,118.77045936742277,113.89241730511537,0.5681134558608494,456.25082938258225,0.9764607932182864,0.7789862403525849,0.7686214501862524,0.784482327787117,0.78644803544566,0.05296645182614444,0.048512128032008,0.05461056401074306,0.06906957250628667,0.689987717811917,0.7380835344337461,0.666784082972554,0.5372315901137052,0.298867024618085,0.28004264533958495,0.3056684681253355,0.362441845964759,0.18878155101749342,0.1914497545783462,0.1878033886827745,0.17935624444883191,0.7041232544120897,0.7213585948712846,0.6932867212355246,0.6987320500345199,-0.4378434869135646,-0.49495751587335035,-0.41226643792980605,-0.2810035804569612,0.5710704370042242,0.6146377433514156,0.5498611019170236,0.4519161580587795,0.9735167740869278,0.9757439359839961,0.9726947179946286,0.9654652137468567,2.1886465047099652,2.2065516379094774,2.180109058354358,2.162447611064543,0.6511568025859452,0.6728464668392766,0.6386761572247815,0.6296624775282332,0.2887390538544983,0.32192756866385874,0.273168279796681,0.22943642328222236,0.08542637642016082,0.09260992417396663,0.08194471095185585,0.07462649894712725
2,6,nan,0,0,A549,A549,8,8,1,AFA,AFA,45005,70070,1866,1059,1621,773,1737.9034551716477,928.0323297411398,1.3039014582021973,46918,0.5879757153147313,239.3786659475025,1,0.642286285143428,0.7669291216061582,270.26002354813164,302.7887052054617,103.81233067415451,36.28418984634001,32.0,216.68583767711286,218.60754424833013,31.1639222580841,858.732106143464,0.9592267360075024,0.14648046370052717,0.14171546674949997,0.14833137653901612,0.13561599414856784,0.23835528429168007,0.26054213399046544,0.2317075956596231,0.285080176620962,0.9146183101935558,0.9058789254624523,0.9171702033305089,0.8965940682426814,0.7926962174553693,0.8281716982468681,0.7811945940938535,0.8653954454104212,0.07059729057471319,0.06742652154203896,0.0715953513733761,0.0643518921631581,3.2399345754688795,3.290944672888459,3.224507076726926,3.3447850418503196,-0.5661896119911533,-0.5405246655359913,-0.5738564925744566,-0.5153045007780686,0.9605219776076536,0.9553183193323366,0.9619523672807224,0.9496858000532475,0.8808774264604654,0.8698118421961722,0.8841736150770988,0.8580176620962119,6.17594419714561,6.1920499297574905,6.163495145631067,6.213362770160352,3.001089507383347,3.0296105050992224,2.992525831656124,3.055786159871991,5.344932768030098,5.275776597401077,5.363080873620071,5.22872685120052,1.3958220130804442,1.3840796828478847,1.3986971173199212,1.3784517569553678
2,7,nan,0,0,A549,A549,8,8,1,AFA,AFA,47327,124313,1123,1312,822,899,1001.2619223698946,1117.165043210007,2.286218367203857,59024,0.8967002129855889,245.47628792549605,1,0.3807083732192128,0.43740353692593364,394.3250607027779,461.5278973149944,79.1580697086532,29.112736099297013,26.1725046566048,192.98169690031762,174.54340275896726,-31.579334009783572,1166.052957317385,0.801826375711575,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,0.25,0.25,0.25,0.25,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,nan,0,0,A549,A549,8,8,1,AFA,AFA,11731,16125,784,1088,655,963,723.0585627823715,1021.8064956099224,1.1614827123858187,11876,0.6332724934554265,122.21445536141866,1,0.7275038759689922,0.86096847532572,139.54560809751683,139.62807740565648,53.03772242470448,19.584916224059103,17.4928556845359,107.24217899573009,107.99837958576451,47.52824936053741,413.78888860545663,0.9877905018524756,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,0.25,0.25,0.25,0.25,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9,nan,0,0,A549,A549,8,8,1,AFA,AFA,30003,49920,1283,1279,1091,1019,1180.68899776689,1146.5886411358865,1.4605864320638704,31530,0.8259261657936506,195.450776567117,1,0.6010216346153846,0.6846565037489482,267.01786390634163,289.3751889848195,73.24616030891995,26.896748022147978,24.413111231467404,158.87330406138096,150.53887669753803,33.07877744278173,742.080302527855,0.951569933396765,0.6203062829282052,0.6160462740397674,0.6224706843449476,0.6066423382612751,0.06695464362850972,0.07295064899007427,0.06763318296084576,0.07648987738808098,0.7889344241442822,0.7693806116758841,0.7849298781890434,0.7629826589458855,0.3544548053841855,0.37683965039998113,0.3570284241134929,0.38968864979867446,0.1805744093388296,0.17713632102088814,0.18018293187326853,0.17512943819206397,1.0477154127537929,1.0660558831623028,1.0449405639551124,1.0893920292844732,-0.5393455585971623,-0.5106620908663951,-0.5338014426137936,-0.5003954987082135,0.7339711455988113,0.7201384526017746,0.7298895073867548,0.7187881551936893,0.9665226781857451,0.9635246755049629,0.9661834085195772,0.9617550613059594,2.395387723820804,2.393905740265149,2.3908536795344193,2.4045480467636153,0.9807607691252832,0.9931052341722284,0.9773073809942665,1.0129021518963923,0.5674893518649009,0.5596990993263882,0.5613075773023981,0.5689470939988954,0.15861099887335262,0.1581624370791157,0.1572351900658111,0.16135924284674408
2,10,nan,0,0,A549,A549,8,8,1,AFA,AFA,67300,166797,1535,1746,1148,1315,1315.7078008915305,1504.8970579494799,2.092458353021769,84424,0.7929834678376279,292.726871606753,1,0.40348447514044017,0.477906763857869,400.8587187137927,437.7487864060847,97.51410154434076,36.187663029020094,32.526911934581186,298.63115075680673,244.22042978188074,33.838174300323196,1330.273303427918,0.797166682459964,0.6512796867860964,0.6488104342792188,0.6521461462906634,0.6468756979864226,0.11439454444922283,0.11637272601027634,0.11410022813921085,0.11676697926872891,0.5376352009117247,0.5314342759693101,0.5376298661398085,0.5329168563740545,0.5130305633187683,0.5188437083401743,0.512160934247397,0.5199956856155898,0.15468326712257047,0.15366881245474653,0.1548346448370283,0.15346725434143213,1.03915557678399,1.0456231618679985,1.037070060356707,1.0501513915053393,-0.2570780751389445,-0.2512410795410923,-0.2572031611423222,-0.2522568028458978,0.5138252503308309,0.5094230463434956,0.5135068136538705,0.511376891536809,0.9428027277753886,0.9418136369948619,0.9429498859303945,0.9416165103656355,2.2892424894022243,2.2905769260442224,2.2883434643475065,2.292881693338932,0.9247610323347673,0.9292504358577223,0.9229698322174962,0.9333844122366106,0.38042921667962837,0.38034617612885757,0.37944474712388043,0.38321672111605576,0.12370594028221271,0.12417972553478362,0.1233862438157729,0.12499592509619606
