index,fret_cell_Ed_averages,fret_cell_Ed_variance
1,0.27254563570022583,0.020203176885843277
2,0.20400826632976532,0.019984059035778046
3,0.0007551063899882138,0.00013271662464831024
4,0.16307558119297028,0.028182290494441986
5,0.007793827448040247,0.001318549388088286
6,0.09978614002466202,0.018675033003091812
7,0.011338265612721443,0.002263169502839446
8,0.3209155201911926,0.011907750740647316
9,0.2907901108264923,0.007587399799376726
10,0.07363830506801605,0.014826934784650803
11,0.17382249236106873,0.013793387450277805
12,0.005585828796029091,0.0009013462113216519
13,0.016339624300599098,0.0033036789391189814
14,0.2035941779613495,0.03232654556632042
15,0.006332465447485447,0.0012180885532870889
16,0.0029110624454915524,0.00046370018390007317
