index,fret_cell_Ed_averages,fret_cell_Ed_variance
1,0.1284061223268509,0.0005672904080711305
2,0.11538589745759964,0.0005283168284222484
3,0.1331624835729599,0.0005919032264500856
4,0.13968317210674286,0.0007696556858718395
5,0.12328476458787918,0.0005265635554678738
6,0.12958525121212006,0.0005573753151111305
7,0.1472797840833664,0.0008797742775641382
8,0.13866949081420898,0.0009044940816238523
9,0.12467060983181,0.0005374020547606051
10,0.1330779492855072,0.0007953888271003962
11,0.12018964439630508,0.0005045384168624878
12,0.12244583666324615,0.0005353501765057445
13,0.11646399646997452,0.000508505676407367
14,0.13154099881649017,0.000655404117424041
