ObjectNumber,Ed_cell_mean_value,Ed_cell_variance,Ed_agg_mean_value,Ed_agg_max_value,Ed_agg_min_value,Ed_agg_top_50_value,Ed_agg_top_25_value
1,0.2631603479385376,0.0167632810771465,0.2332826405763626,0.45087525248527527,0.046204302459955215,0.2940751314163208,0.33490440249443054
2,0.1673846691846847,0.0114780729636549,0.14194247126579285,0.37949633598327637,0.0033593960106372833,0.1980283558368683,0.2308330088853836
3,0.2146598100662231,0.0141165060922503,0.16638706624507904,0.41265469789505005,0.0006739508826285601,0.2246806025505066,0.2619602382183075
4,0.1123230829834938,0.016267942264676,0.14119787514209747,0.3043973743915558,0.009327206760644913,0.21248118579387665,0.2495373636484146
