index,fret_cell_Ed_averages,fret_cell_Ed_variance,aggregates_average_value,aggregates_pixels_value,aggregates_pixels_proportion
1,0.2281507700681686,0.003887239145115,0.3424665629863739,4391.0,0.1334772167674864
2,0.1975494921207428,0.0009754040511325,0.0,0.0,0.0
3,0.1820475906133651,0.0006759837269783,0.0,0.0,0.0
4,0.1946620345115661,0.002827318618074,0.4086358845233917,1182.0,0.028446968785348126
5,0.177873432636261,0.0006722327088937,0.0,0.0,0.0
6,0.1970430016517639,0.0007841396145522,0.0,0.0,0.0
7,0.1820194125175476,0.0006824099109508,0.0,0.0,0.0
8,0.2594002485275268,0.0034103663638234,0.3498210608959198,6019.0,0.19321391884951206
9,0.2184569835662841,0.0010359662119299,0.0,0.0,0.0
10,0.1959448158740997,0.0007579590310342,0.0,0.0,0.0
11,0.1831972301006317,0.0006743761477991,0.0,0.0,0.0
12,0.1720809489488601,0.000644895771984,0.0,0.0,0.0
13,0.1845860630273819,0.0007356476271525,0.0,0.0,0.0
14,0.2115229070186615,0.0034146988764405,0.3456699252128601,4795.0,0.09243551682924009
15,0.1816186904907226,0.0007620750693604,0.0,0.0,0.0
16,0.1718881279230117,0.0006567186792381,0.0,0.0,0.0
